model,accuracy,precision,recall,f1,confusion_matrix,roc_auc
baseline_all_features,0.9960232486999082,0.9988704819277109,0.9962448366503943,0.9975559315660839,"[[603, 3], [10, 2653]]",0.9998680115852365
selected_top_features,0.9963291526460691,0.9996230682246513,0.9958693203154337,0.9977426636568849,"[[605, 1], [11, 2652]]",0.9991625242133677
