attribute,dpd,eod,di
applicant_race_1,0.5,0.006866416978776546,0.5
applicant_ethnicity_1,0.5,0.007425742574257432,0.5
applicant_sex,0.04420750486609015,0.007843137254901933,0.946106885132649
applicant_age,0.2607879924953096,0.011887072808320909,0.6917960088691796
