Model,Accuracy,AUC,Precision,Recall,F1
LR_Fair,0.9770153699176712,0.987338485806776,0.9971120871187052,0.9786819416558403,0.987811056474445
XGB_Fair,0.9516142628340217,0.8435905964894845,0.9520474744065699,0.9994980512578245,0.9751958976722747
RF_Fair,0.7697603191997527,0.7633849709577609,0.9724348594141028,0.7801759773237275,0.8657601572739188
NN_Fair,0.9516423614038045,0.6018711380210982,0.9516423614038045,1.0,0.9752220798479635
GLM_Fair,0.9810615639663941,0.9948729668390943,0.997780577049967,0.9822841620408646,0.9899717303972623
GOSDT_Fair,0.9516423614038045,0.5,0.9516423614038045,1.0,0.9752220798479635
FasterRisk_Fair,0.9516704599735873,0.6779209103641735,0.9517198741007195,0.9999409472068029,0.9752346944652422
Ensemble_Fair,0.9558852454410071,0.9811604862079644,0.9557487159225603,0.9999409472068029,0.9773455311535021
