Model,Fairness Pass,Performance Pass,All Criteria Met,Fairness Score,F1 Score,Combined Score
XGBoost,❌,✅,❌,0.650395492352365,0.9999004564781503,0.8251479744152577
Ensemble,❌,✅,❌,0.634017901537692,0.9996443862818452,0.8168311439097686
Logistic Regression,❌,✅,❌,0.6311315246266305,0.9995305498257345,0.8153310372261825
Random Forest,❌,✅,❌,0.6171182528120278,0.9996088555112259,0.8083635541616269
Neural Network,❌,✅,❌,0.6150745754878361,0.9998435722411831,0.8074590738645095
GLM,❌,✅,❌,0.58744556845789,0.9992745170559618,0.7933600427569258
