Model,Fairness Pass,Performance Pass,All Criteria Met,Fairness Score,F1 Score,Combined Score
XGBoost,❌,✅,❌,0.6593200962877274,0.9997510898707801,0.8295355930792537
Logistic Regression,❌,✅,❌,0.6490503792066947,0.9994166441386964,0.8242335116726955
GLM,❌,✅,❌,0.6483996125634789,0.9993312464428002,0.8238654295031396
Neural Network,❌,✅,❌,0.5591909005771613,0.9995805697142898,0.7793857351457255
