Model,AUC-ROC,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9998896559360398,0.9959641377068718,0.9999848162769511,0.9955106112824234,0.9977426978548054
XGBoost,0.9999822514451849,0.998158129960183,0.9996821167993702,0.9982616845032952,0.9989713957252417
Random Forest,0.9999774738962834,0.9973184539126195,0.999939362701998,0.9970675373359937,0.9985013850834835
Neural Network,0.9999639204544246,0.9985644248219074,0.9989273628233019,0.9994709474575246,0.999199081210143
