Model,Protected Attribute,DPD,EOD,Disparate Impact,80% Rule,Accuracy,Precision,Recall,F1 Score
Logistic Regression,race,0.10065727699530513,0.0034405642525374702,0.8993427230046949,Pass,0.9988924157493078,0.999985763705992,0.9988481720063137,0.9994166441386964
Logistic Regression,ethnicity,0.10505749692977562,0.0014949545284663746,0.8949425030702244,Pass,0.9988924157493078,0.999985763705992,0.9988481720063137,0.9994166441386964
Logistic Regression,sex,0.16696459806794228,0.0029918105759835223,0.8272917041620874,Pass,0.9988924157493078,0.999985763705992,0.9988481720063137,0.9994166441386964
XGBoost,race,0.09999999999999998,0.0017202821262687351,0.9,Pass,0.9995272506247045,0.9999857732252099,0.9995165166446255,0.9997510898707801
XGBoost,ethnicity,0.10416434073908676,0.0005896586079989774,0.8958356592609132,Pass,0.9995272506247045,0.9999857732252099,0.9995165166446255,0.9997510898707801
XGBoost,sex,0.16513567100352355,0.00099601593625498,0.8292512756945147,Pass,0.9995272506247045,0.9999857732252099,0.9995165166446255,0.9997510898707801
Neural Network,race,0.09896713615023478,0.02247191011235955,0.9010328638497652,Pass,0.9992030796245019,0.9994313658592062,0.9997298181249378,0.9995805697142898
Neural Network,ethnicity,0.10304789550072568,0.011821601289629231,0.8969521044992743,Pass,0.9992030796245019,0.9994313658592062,0.9997298181249378,0.9995805697142898
Neural Network,sex,0.16518526196676986,0.014070583338288636,0.8292738452610787,Pass,0.9992030796245019,0.9994313658592062,0.9997298181249378,0.9995805697142898
GLM,race,0.10075117370892017,0.0036125924651643215,0.8992488262910798,Pass,0.9987303302492064,0.9999430499594231,0.9987201911181264,0.9993312464428002
GLM,ethnicity,0.10516914145361167,0.0016195340725052576,0.8948308585463883,Pass,0.9987303302492064,0.9999430499594231,0.9987201911181264,0.9993312464428002
GLM,sex,0.16701958773636305,0.00298804780876494,0.8271787362909746,Pass,0.9987303302492064,0.9999430499594231,0.9987201911181264,0.9993312464428002
